Y_bit,Y_bit_pct,Y_bit_pct_grp,mean_test_score_p,mean_test_score_e,roc_avg,fp_groups,Y_bit_description,ms_diff
4564,0.0799567099567099,1.0,0.66188686603341,0.6494288539664936,0.6556578599999519,Aromatic Aromatic Hydrophobe,Aromatic Aromatic Hydrophobe |0 3 4|3 0 4|4 4 0|,-0.012458012066916324
6389,0.0558008658008658,1.0,0.6563728132355583,0.6541915218385808,0.6552821675370695,Aromatic LumpedHydrophobe LumpedHydrophobe,Aromatic LumpedHydrophobe LumpedHydrophobe |0 4 3|4 0 4|3 4 0|,-0.002181291396977536
5937,0.0851190476190476,1.0,0.649137591366806,0.6523902512911565,0.6507639213289813,Aromatic Hydrophobe LumpedHydrophobe,Aromatic Hydrophobe LumpedHydrophobe |0 4 3|4 0 4|3 4 0|,0.0032526599243504206
4698,0.0626298701298701,1.0,0.6634460211348305,0.6302538996164584,0.6468499603756445,Aromatic Aromatic LumpedHydrophobe,Aromatic Aromatic LumpedHydrophobe |0 4 4|4 0 3|4 3 0|,-0.03319212151837214
134,0.3994047619047619,4.0,0.6434456988182479,0.6462080676041461,0.644826883211197,LumpedHydrophobe LumpedHydrophobe,LumpedHydrophobe LumpedHydrophobe |0 4|4 0|,0.002762368785898195
10457,0.104025974025974,1.0,0.6393841488191395,0.6473330844645302,0.6433586166418348,Hydrophobe LumpedHydrophobe LumpedHydrophobe,Hydrophobe LumpedHydrophobe LumpedHydrophobe |0 4 3|4 0 4|3 4 0|,0.007948935645390676
4359,0.0554653679653679,1.0,0.6682448964345082,0.6151384584734728,0.6416916774539905,Aromatic Aromatic Aromatic,Aromatic Aromatic Aromatic |0 4 4|4 0 3|4 3 0|,-0.053106437961035424
59,0.6447727272727273,6.0,0.6335962457449594,0.6434622665182858,0.6385292561316226,Aromatic LumpedHydrophobe,Aromatic LumpedHydrophobe |0 4|4 0|,0.009866020773326323
10462,0.111504329004329,1.0,0.6426963353335776,0.6308816038726848,0.6367889696031312,Hydrophobe LumpedHydrophobe LumpedHydrophobe,Hydrophobe LumpedHydrophobe LumpedHydrophobe |0 4 4|4 0 4|4 4 0|,-0.011814731460892847
10009,0.1422294372294372,1.0,0.6254089784659504,0.640266105471264,0.6328375419686072,Hydrophobe Hydrophobe LumpedHydrophobe,Hydrophobe Hydrophobe LumpedHydrophobe |0 4 4|4 0 3|4 3 0|,0.014857127005313497
5941,0.1266774891774891,1.0,0.6413451451618072,0.623737499310077,0.6325413222359422,Aromatic Hydrophobe LumpedHydrophobe,Aromatic Hydrophobe LumpedHydrophobe |0 4 4|4 0 3|4 3 0|,-0.017607645851730136
44,0.6228679653679654,6.0,0.6254826426834372,0.6393075206327302,0.6323950816580837,Aromatic Aromatic,Aromatic Aromatic |0 4|4 0|,0.01382487794929299
1739,0.0654870129870129,1.0,0.6312498495076262,0.6313717308989036,0.6313107902032649,Acceptor Aromatic PosIonizable,Acceptor Aromatic PosIonizable |0 3 4|3 0 4|4 4 0|,0.00012188139127744524
5920,0.1466450216450216,1.0,0.6351324754066948,0.6252916332256486,0.6302120543161718,Aromatic Hydrophobe LumpedHydrophobe,Aromatic Hydrophobe LumpedHydrophobe |0 3 4|3 0 4|4 4 0|,-0.009840842181046194
114,0.6689502164502165,7.0,0.6367730613655505,0.6220947614342278,0.6294339113998891,Hydrophobe LumpedHydrophobe,Hydrophobe LumpedHydrophobe |0 4|4 0|,-0.014678299931322636
6097,0.0572510822510822,1.0,0.6176983317944347,0.6370530382200573,0.627375685007246,Aromatic Hydrophobe PosIonizable,Aromatic Hydrophobe PosIonizable |0 1 4|1 0 4|4 4 0|,0.019354706425622648
99,0.1564610389610389,2.0,0.61978658508117,0.6344588079626566,0.6271226965219133,Donor PosIonizable,Donor PosIonizable |0 4|4 0|,0.014672222881486618
10447,0.115573593073593,1.0,0.6198346383735791,0.6341802450978126,0.6270074417356959,Hydrophobe LumpedHydrophobe LumpedHydrophobe,Hydrophobe LumpedHydrophobe LumpedHydrophobe |0 4 1|4 0 4|1 4 0|,0.014345606724233462
3003,0.0571861471861471,1.0,0.6120967259145964,0.6413034399718824,0.6267000829432394,Acceptor Hydrophobe PosIonizable,Acceptor Hydrophobe PosIonizable |0 4 4|4 0 3|4 3 0|,0.029206714057286032
3434,0.0542857142857142,1.0,0.6303769176627715,0.6217153328320599,0.6260461252474157,Acceptor LumpedHydrophobe PosIonizable,Acceptor LumpedHydrophobe PosIonizable |0 3 4|3 0 4|4 4 0|,-0.008661584830711555
2439,0.1182900432900432,1.0,0.6193717595329793,0.6322852926614722,0.6258285260972257,Acceptor Donor PosIonizable,Acceptor Donor PosIonizable |0 4 4|4 0 4|4 4 0|,0.01291353312849286
5942,0.1886471861471861,2.0,0.6342507833453849,0.6172097873842629,0.6257302853648239,Aromatic Hydrophobe LumpedHydrophobe,Aromatic Hydrophobe LumpedHydrophobe |0 4 4|4 0 4|4 4 0|,-0.017040995961121963
4586,0.1643398268398268,2.0,0.6371407178796817,0.613107605223449,0.6251241615515654,Aromatic Aromatic Hydrophobe,Aromatic Aromatic Hydrophobe |0 4 4|4 0 4|4 4 0|,-0.024033112656232758
1761,0.1368614718614718,1.0,0.6300088827477299,0.6169227103698682,0.6234657965587991,Acceptor Aromatic PosIonizable,Acceptor Aromatic PosIonizable |0 4 4|4 0 4|4 4 0|,-0.013086172377861693
133,0.1068722943722943,1.0,0.6058818213760806,0.6396608785600721,0.6227713499680764,LumpedHydrophobe LumpedHydrophobe,LumpedHydrophobe LumpedHydrophobe |0 3|3 0|,0.033779057183991545
6168,0.0784415584415584,1.0,0.6350539611955185,0.6101314621201803,0.6225927116578494,Aromatic Hydrophobe PosIonizable,Aromatic Hydrophobe PosIonizable |0 4 4|4 0 4|4 4 0|,-0.024922499075338167
2958,0.1398376623376623,1.0,0.616660392163616,0.6273807832461361,0.6220205877048761,Acceptor Hydrophobe PosIonizable,Acceptor Hydrophobe PosIonizable |0 2 4|2 0 4|4 4 0|,0.010720391082520098
5829,0.2456601731601731,2.0,0.6329544789623786,0.6107420534864643,0.6218482662244214,Aromatic Hydrophobe Hydrophobe,Aromatic Hydrophobe Hydrophobe |0 4 4|4 0 4|4 4 0|,-0.022212425475914288
10688,0.0644264069264069,1.0,0.6269846618212799,0.6166055377514209,0.6217950997863504,Hydrophobe LumpedHydrophobe PosIonizable,Hydrophobe LumpedHydrophobe PosIonizable |0 4 4|4 0 4|4 4 0|,-0.01037912406985897
5602,0.0546753246753246,1.0,0.6258890263344794,0.6133430455165201,0.6196160359254997,Aromatic Donor PosIonizable,Aromatic Donor PosIonizable |0 4 4|4 0 3|4 3 0|,-0.012545980817959324
69,0.2049458874458874,2.0,0.620601502117466,0.6185582880847289,0.6195798951010975,Aromatic PosIonizable,Aromatic PosIonizable |0 4|4 0|,-0.0020432140327371062
3004,0.1635064935064935,2.0,0.6230238230974439,0.6160859743623961,0.61955489872992,Acceptor Hydrophobe PosIonizable,Acceptor Hydrophobe PosIonizable |0 4 4|4 0 4|4 4 0|,-0.006937848735047769
4585,0.166504329004329,2.0,0.6370167598866204,0.6019785159368822,0.6194976379117514,Aromatic Aromatic Hydrophobe,Aromatic Aromatic Hydrophobe |0 4 4|4 0 3|4 3 0|,-0.0350382439497382
970,0.1607575757575757,2.0,0.6191462723757934,0.619735146042544,0.6194407092091687,Acceptor Acceptor PosIonizable,Acceptor Acceptor PosIonizable |0 4 4|4 0 4|4 4 0|,0.0005888736667505334
10165,0.0671536796536796,1.0,0.6086839506172839,0.6301492877492877,0.6194166191832857,Hydrophobe Hydrophobe PosIonizable,Hydrophobe Hydrophobe PosIonizable |0 1 4|1 0 4|4 4 0|,0.021465337132003826
