Y_bit,Y_bit_pct,Y_bit_pct_grp,mean_test_score_p,mean_test_score_e,roc_avg,fp_groups,Y_bit_description,ms_diff
2630,0.3016233766233766,3.0,0.5242406950832731,0.5510990505811915,0.5376698728322322,Acceptor Hydrophobe Hydrophobe,Acceptor Hydrophobe Hydrophobe |0 3 2|3 0 1|2 1 0|,0.026858355497918374
726,0.0569155844155844,1.0,0.5292676230661041,0.545422447257384,0.537345035161744,Acceptor Acceptor LumpedHydrophobe,Acceptor Acceptor LumpedHydrophobe |0 4 1|4 0 1|1 1 0|,0.016154824191279893
2073,0.0569047619047619,1.0,0.5303285121650408,0.5429365703763247,0.5366325412706827,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 3 3|3 0 4|3 4 0|,0.012608058211283857
583,0.0524025974025974,1.0,0.5206463519490233,0.5526026238248637,0.5366244878869435,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 2 4|2 0 2|4 2 0|,0.03195627187584038
2054,0.4143290043290043,4.0,0.5358639375929406,0.5365598288794311,0.5362118832361858,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 2 4|2 0 4|4 4 0|,0.000695891286490502
392,0.2234740259740259,2.0,0.5415056859692895,0.5306732580958103,0.53608947203255,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 4 2|4 0 1|2 1 0|,-0.010832427873479156
630,0.4867207792207792,5.0,0.5324356491567821,0.5397333928427338,0.536084520999758,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 4 4|4 0 3|4 3 0|,0.0072977436859517075
2206,0.0555844155844155,1.0,0.5456344982488773,0.5255441464591791,0.5355893223540282,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 4 3|4 0 2|3 2 0|,-0.020090351789698202
721,0.0629220779220779,1.0,0.5185073978265035,0.5516709053612001,0.5350891515938518,Acceptor Acceptor LumpedHydrophobe,Acceptor Acceptor LumpedHydrophobe |0 3 4|3 0 3|4 3 0|,0.03316350753469666
8190,0.1993506493506493,2.0,0.5255568744737895,0.5436507664725297,0.5346038204731596,Donor Hydrophobe Hydrophobe,Donor Hydrophobe Hydrophobe |0 4 2|4 0 2|2 2 0|,0.01809389199874023
2078,0.2401082251082251,2.0,0.5236840080837725,0.5453405786462049,0.5345122933649886,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 3 4|3 0 4|4 4 0|,0.02165657056243242
382,0.0772402597402597,1.0,0.5231665462469983,0.5457591466337441,0.5344628464403712,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 3 4|3 0 3|4 3 0|,0.02259260038674582
1299,0.4009632034632034,4.0,0.5429104459386521,0.5259677400149346,0.5344390929767934,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 4 2|4 0 4|2 4 0|,-0.016942705923717494
387,0.0987445887445887,1.0,0.5249713368395512,0.5431494476966381,0.5340603922680947,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 4 1|4 0 1|1 1 0|,0.01817811085708687
83,0.3712012987012987,4.0,0.5326622889683286,0.53519007439487,0.5339261816815992,Donor Hydrophobe,Donor Hydrophobe |0 3|3 0|,0.002527785426541418
1236,0.1642424242424242,2.0,0.5391193449411722,0.5283501281720683,0.5337347365566203,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 1 4|1 0 2|4 2 0|,-0.010769216769103918
359,0.365,4.0,0.5330655508817896,0.5340851695182777,0.5335753602000337,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 2 4|2 0 4|4 4 0|,0.0010196186364880289
5257,0.0898160173160173,1.0,0.5182563370394058,0.548613629868354,0.5334349834538799,Aromatic Donor Hydrophobe,Aromatic Donor Hydrophobe |0 4 3|4 0 2|3 2 0|,0.03035729282894828
2099,0.3089285714285714,3.0,0.5351933391808976,0.5301415215953531,0.5326674303881254,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 4 4|4 0 3|4 3 0|,-0.005051817585544516
1387,0.1363636363636363,1.0,0.5291180067584681,0.5356569371491735,0.5323874719538209,Acceptor Aromatic Hydrophobe,Acceptor Aromatic Hydrophobe |0 3 2|3 0 1|2 1 0|,0.006538930390705411
608,0.1131385281385281,1.0,0.520019651331732,0.5442635960603613,0.5321416236960467,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 3 4|3 0 3|4 3 0|,0.02424394472862934
291,0.2718939393939394,3.0,0.5284159088335674,0.5356149524170113,0.5320154306252893,Acceptor Acceptor Acceptor,Acceptor Acceptor Acceptor |0 4 4|4 0 3|4 3 0|,0.00719904358344392
1251,0.2544264069264069,3.0,0.5265542059573455,0.5362442313020198,0.5313992186296826,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 2 2|2 0 2|2 2 0|,0.009690025344674336
722,0.1921753246753246,2.0,0.5250256472130841,0.5374805519544914,0.5312530995837877,Acceptor Acceptor LumpedHydrophobe,Acceptor Acceptor LumpedHydrophobe |0 3 4|3 0 4|4 4 0|,0.012454904741407313
2048,0.1186363636363636,1.0,0.5219872383575624,0.5403473328317819,0.5311672855946722,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 2 3|2 0 3|3 3 0|,0.01836009447421949
2167,0.3420021645021645,3.0,0.5386438249914203,0.5229152475176609,0.5307795362545407,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 2 4|2 0 4|4 4 0|,-0.01572857747375933
496,0.1901623376623376,2.0,0.5308535445404963,0.5297431372656851,0.5302983409030907,Acceptor Acceptor Donor,Acceptor Acceptor Donor |0 3 4|3 0 4|4 4 0|,-0.0011104072748111538
399,0.0581818181818181,1.0,0.5223828770161726,0.5378519819657108,0.5301174294909416,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 4 3|4 0 3|3 3 0|,0.015469104949538237
624,0.2078030303030303,2.0,0.5304528885742008,0.5295822515931083,0.5300175700836546,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 4 3|4 0 2|3 2 0|,-0.0008706369810924652
2191,0.1817207792207792,2.0,0.5155704081291255,0.5438375817053711,0.5297039949172483,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 3 4|3 0 4|4 4 0|,0.02826717357624564
1237,0.1395670995670995,1.0,0.5242128771608887,0.5350122701467772,0.529612573653833,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 1 4|1 0 3|4 3 0|,0.0107993929858885
5241,0.0637337662337662,1.0,0.5274656939295753,0.5297571511615233,0.5286114225455494,Aromatic Donor Hydrophobe,Aromatic Donor Hydrophobe |0 3 4|3 0 3|4 3 0|,0.002291457231948013
607,0.081082251082251,1.0,0.5295533218707301,0.5276295634104845,0.5285914426406073,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 3 4|3 0 2|4 2 0|,-0.001923758460245617
