Y_bit,Y_bit_pct,Y_bit_pct_grp,mean_test_score_p,mean_test_score_e,roc_avg,fp_groups,Y_bit_description,ms_diff
323,0.164069264069264,2.0,0.5381613985932348,0.5237201646090535,0.5309407816011441,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 1 2|1 0 2|2 2 0|,-0.01444123398418129
2022,0.1116017316017316,1.0,0.5379031517709149,0.5236484841387612,0.5307758179548381,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 1 3|1 0 1|3 1 0|,-0.014254667632153661
335,0.1503679653679653,2.0,0.5298118748809203,0.5317059015437978,0.5307588882123591,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 2 0|2 0 0|0 0 0|,0.0018940266628775237
2700,0.0977056277056277,1.0,0.5364345985236115,0.5250355744545714,0.5307350864890914,Acceptor Hydrophobe LumpedHydrophobe,Acceptor Hydrophobe LumpedHydrophobe |0 1 3|1 0 1|3 1 0|,-0.011399024069040142
1217,0.2803896103896104,3.0,0.5314134198923843,0.529292172431331,0.5303527961618577,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 1 0|1 0 1|0 1 0|,-0.002121247461053355
2017,0.3478787878787879,3.0,0.5220364129531607,0.5380808027474884,0.5300586078503245,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 1 2|1 0 1|2 1 0|,0.01604438979432765
1221,0.2413744588744588,2.0,0.5279697219019687,0.5305388410507298,0.5292542814763492,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 1 1|1 0 1|1 1 0|,0.002569119148761123
1197,0.2704329004329004,3.0,0.528523249985635,0.5299496802251609,0.529236465105398,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 0 0|0 0 0|0 0 0|,0.0014264302395258222
258,0.1121861471861471,1.0,0.5223245014319886,0.5354570802935597,0.5288907908627741,Acceptor Acceptor Acceptor,Acceptor Acceptor Acceptor |0 3 2|3 0 2|2 2 0|,0.013132578861571043
1241,0.1789177489177489,2.0,0.5277661535770388,0.5298908327663835,0.5288284931717111,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 2 0|2 0 2|0 2 0|,0.0021246791893446693
5172,0.1873484848484848,2.0,0.523039576529697,0.5342705367236177,0.5286550566266573,Aromatic Donor Hydrophobe,Aromatic Donor Hydrophobe |0 1 0|1 0 1|0 1 0|,0.01123096019392067
2105,0.2079112554112554,2.0,0.530318889129793,0.5267531119389163,0.5285360005343547,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 0 1|0 0 1|1 1 0|,-0.0035657771908766955
391,0.0679761904761904,1.0,0.5410185874757614,0.5158266043972574,0.5284225959365094,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 4 2|4 0 0|2 0 0|,-0.02519198307850401
2130,0.2368398268398268,2.0,0.5369869396220395,0.5196253027600111,0.5283061211910253,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 1 2|1 0 1|2 1 0|,-0.017361636862028407
2008,0.3287012987012987,3.0,0.5242012341483329,0.5323920120208698,0.5282966230846013,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 1 0|1 0 1|0 1 0|,0.00819077787253697
549,0.193051948051948,2.0,0.5263229559570295,0.5299849154306988,0.5281539356938642,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 1 2|1 0 2|2 2 0|,0.0036619594736693184
