,Y_bit,param_C,param_solver,Y_bit_pct,mean_test_score,precision,accuracy,recall,f1,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,random_seed
0,0,0.025,lbfgs,0.5118290043290044,0.5584311013877199,0.5180943214629451,0.5307936507936508,0.8560750636132316,0.6455210456889314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
1,1,0.025,lbfgs,0.8411688311688311,0.5440302376640017,0.8391708363116511,0.8388095238095238,0.9994324631101021,0.9123170573759877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
2,2,0.025,lbfgs,0.8415259740259741,0.6090809630741398,0.8447426937738246,0.8442857142857143,0.9993423524990604,0.9155620588741608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
4,4,0.025,lbfgs,0.530487012987013,0.5437493356204646,0.5256366723259762,0.5274603174603174,0.9441903019213175,0.6753190097066201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
5,5,0.025,lbfgs,0.8204329004329004,0.5597005580509051,0.8122468429830831,0.8121428571428572,0.9997067448680352,0.8962797423425792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
6,6,0.025,lbfgs,0.8126623376623376,0.5339519679072264,0.81,0.81,1.0,0.8950276243093923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
8,8,0.025,lbfgs,0.7158874458874459,0.5999662557804383,0.7178650970410436,0.7171428571428572,0.9981198849811989,0.8351068751734988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
9,9,0.025,lbfgs,0.8390692640692641,0.626605288555864,0.8414362885287575,0.8407936507936508,0.9990567817392945,0.9134971970677016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
13,13,0.025,lbfgs,0.24607142857142858,0.6177135010020559,0.6219512195121951,0.7606349206349207,0.016798418972332016,0.032713277742142395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
16,16,0.025,lbfgs,0.38626623376623376,0.5976770969825086,0.6405990016638935,0.6305555555555555,0.07980928689883914,0.14193548387096772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
17,17,0.025,lbfgs,0.6521103896103896,0.6355644795653119,0.6518951383816248,0.648015873015873,0.9821472242602103,0.7836479828284305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
18,18,0.025,lbfgs,0.6203030303030304,0.5473388461355898,0.6202129350071508,0.6199206349206349,0.9988483685220729,0.765256605068379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
19,19,0.025,lbfgs,0.7867965367965368,0.5603710472747743,0.7727381046945746,0.7726190476190476,0.9995889847924373,0.8716455355942835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
20,20,0.025,lbfgs,0.6038203463203463,0.561451099562777,0.6053950823585581,0.6052380952380952,0.9980322707595435,0.7536404160475483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
21,21,0.025,lbfgs,0.8072402597402597,0.6276173075251665,0.803860819828408,0.8033333333333333,0.9991113744075829,0.8909138932910724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
22,22,0.025,lbfgs,0.398495670995671,0.5949930696493587,0.6620583717357911,0.6212698412698413,0.08649407987156331,0.15299964501242455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
23,23,0.025,lbfgs,0.6419047619047619,0.6366250470087536,0.6461715035251681,0.6415873015873016,0.9752536500866122,0.7773175542406312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
26,26,0.025,lbfgs,0.13135281385281386,0.6055657698189182,0.42105263157894735,0.8783333333333333,0.00522875816993464,0.010329244673983216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
27,27,0.025,lbfgs,0.2030952380952381,0.6075298628723121,0.7323943661971831,0.805952380952381,0.020984665052461663,0.04080031384856807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
30,30,0.025,lbfgs,0.17681818181818182,0.5668227017611116,0.0,0.827936507936508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
31,31,0.025,lbfgs,0.3789935064935065,0.5808975759872371,0.5617529880478087,0.6329365079365079,0.030283505154639175,0.05746892194823721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
