Metadata_Compound_Source,Metadata_JCP2022
source_1,JCP2022_000007
source_1,JCP2022_000009
source_1,JCP2022_000019
source_1,JCP2022_000032
source_1,JCP2022_000033
source_1,JCP2022_000042
source_1,JCP2022_000044
source_1,JCP2022_000060
source_1,JCP2022_000063
source_1,JCP2022_000066
source_1,JCP2022_000068
source_1,JCP2022_000075
source_1,JCP2022_000082
source_1,JCP2022_000083
source_1,JCP2022_000084
source_1,JCP2022_000092
source_1,JCP2022_000105
source_1,JCP2022_000130
source_1,JCP2022_000137
source_1,JCP2022_000143
source_1,JCP2022_000160
source_1,JCP2022_000168
source_1,JCP2022_000171
source_1,JCP2022_000206
source_1,JCP2022_000223
source_1,JCP2022_000226
source_1,JCP2022_000231
source_1,JCP2022_000239
source_1,JCP2022_000241
source_1,JCP2022_000255
source_1,JCP2022_000260
source_1,JCP2022_000262
source_1,JCP2022_000263
source_1,JCP2022_000267
source_1,JCP2022_000276
source_1,JCP2022_000311
source_1,JCP2022_000320
source_1,JCP2022_000323
source_1,JCP2022_000326
source_1,JCP2022_000329
source_1,JCP2022_000358
source_1,JCP2022_000362
source_1,JCP2022_000368
source_1,JCP2022_000371
source_1,JCP2022_000375
source_1,JCP2022_000380
source_1,JCP2022_000402
source_1,JCP2022_000403
source_1,JCP2022_000419
source_1,JCP2022_000428
source_1,JCP2022_000451
source_1,JCP2022_000454
source_1,JCP2022_000467
source_1,JCP2022_000479
source_1,JCP2022_000481
source_1,JCP2022_000484
source_1,JCP2022_000490
source_1,JCP2022_000494
source_1,JCP2022_000504
source_1,JCP2022_000505
source_1,JCP2022_000510
source_1,JCP2022_000531
source_1,JCP2022_000533
source_1,JCP2022_000542
source_1,JCP2022_000586
source_1,JCP2022_000589
source_1,JCP2022_000592
source_1,JCP2022_000655
source_1,JCP2022_000657
source_1,JCP2022_000678
source_1,JCP2022_000684
source_1,JCP2022_000700
source_1,JCP2022_000703
source_1,JCP2022_000705
source_1,JCP2022_000721
source_1,JCP2022_000727
source_1,JCP2022_000775
source_1,JCP2022_000779
source_1,JCP2022_000800
source_1,JCP2022_000804
source_1,JCP2022_000814
source_1,JCP2022_000815
source_1,JCP2022_000825
source_1,JCP2022_000837
source_1,JCP2022_000850
source_1,JCP2022_000855
source_1,JCP2022_000892
source_1,JCP2022_000899
source_1,JCP2022_000904
source_1,JCP2022_000915
source_1,JCP2022_000926
source_1,JCP2022_000930
source_1,JCP2022_000931
source_1,JCP2022_000937
source_1,JCP2022_000940
source_1,JCP2022_000945
source_1,JCP2022_000955
source_1,JCP2022_000956
source_1,JCP2022_000961
source_1,JCP2022_000965
source_1,JCP2022_000967
source_1,JCP2022_000981
source_1,JCP2022_000989
source_1,JCP2022_000994
source_1,JCP2022_000999
source_1,JCP2022_001008
source_1,JCP2022_001021
source_1,JCP2022_001045
source_1,JCP2022_001046
source_1,JCP2022_001053
source_1,JCP2022_001071
source_1,JCP2022_001089
source_1,JCP2022_001096
source_1,JCP2022_001106
source_1,JCP2022_001108
source_1,JCP2022_001111
source_1,JCP2022_001124
source_1,JCP2022_001164
source_1,JCP2022_001189
source_1,JCP2022_001205
source_1,JCP2022_001208
source_1,JCP2022_001217
source_1,JCP2022_001236
source_1,JCP2022_001237
source_1,JCP2022_001245
source_1,JCP2022_001250
source_1,JCP2022_001261
source_1,JCP2022_001273
source_1,JCP2022_001284
source_1,JCP2022_001293
source_1,JCP2022_001295
source_1,JCP2022_001305
source_1,JCP2022_001322
source_1,JCP2022_001323
source_1,JCP2022_001332
source_1,JCP2022_001344
source_1,JCP2022_001345
source_1,JCP2022_001350
source_1,JCP2022_001360
source_1,JCP2022_001364
source_1,JCP2022_001369
source_1,JCP2022_001372
source_1,JCP2022_001389
source_1,JCP2022_001404
source_1,JCP2022_001412
source_1,JCP2022_001413
source_1,JCP2022_001416
source_1,JCP2022_001442
source_1,JCP2022_001449
source_1,JCP2022_001450
source_1,JCP2022_001468
source_1,JCP2022_001516
source_1,JCP2022_001531
source_1,JCP2022_001533
source_1,JCP2022_001536
source_1,JCP2022_001542
source_1,JCP2022_001565
source_1,JCP2022_001568
source_1,JCP2022_001596
source_1,JCP2022_001644
source_1,JCP2022_001648
source_1,JCP2022_001650
source_1,JCP2022_001652
source_1,JCP2022_001664
source_1,JCP2022_001678
source_1,JCP2022_001686
source_1,JCP2022_001705
source_1,JCP2022_001714
source_1,JCP2022_001722
source_1,JCP2022_001732
source_1,JCP2022_001735
source_1,JCP2022_001742
source_1,JCP2022_001744
source_1,JCP2022_001750
source_1,JCP2022_001760
source_1,JCP2022_001761
source_1,JCP2022_001765
source_1,JCP2022_001770
source_1,JCP2022_001772
source_1,JCP2022_001779
source_1,JCP2022_001780
source_1,JCP2022_001783
source_1,JCP2022_001791
source_1,JCP2022_001807
source_1,JCP2022_001818
source_1,JCP2022_001820
source_1,JCP2022_001830
source_1,JCP2022_001851
source_1,JCP2022_001856
source_1,JCP2022_001857
source_1,JCP2022_001883
source_1,JCP2022_001887
source_1,JCP2022_001900
source_1,JCP2022_001910
source_1,JCP2022_001926
source_1,JCP2022_001952
source_1,JCP2022_001954
source_1,JCP2022_001956
source_1,JCP2022_001958
source_1,JCP2022_001972
source_1,JCP2022_001995
source_1,JCP2022_002021
source_1,JCP2022_002028
source_1,JCP2022_002051
source_1,JCP2022_002054
source_1,JCP2022_002072
source_1,JCP2022_002076
source_1,JCP2022_002078
source_1,JCP2022_002098
source_1,JCP2022_002099
source_1,JCP2022_002112
source_1,JCP2022_002131
source_1,JCP2022_002146
source_1,JCP2022_002150
source_1,JCP2022_002187
source_1,JCP2022_002200
source_1,JCP2022_002210
source_1,JCP2022_002219
source_1,JCP2022_002223
source_1,JCP2022_002230
source_1,JCP2022_002239
source_1,JCP2022_002253
source_1,JCP2022_002255
source_1,JCP2022_002261
source_1,JCP2022_002293
source_1,JCP2022_002295
source_1,JCP2022_002296
source_1,JCP2022_002304
source_1,JCP2022_002317
source_1,JCP2022_002336
source_1,JCP2022_002343
source_1,JCP2022_002352
source_1,JCP2022_002353
source_1,JCP2022_002362
source_1,JCP2022_002384
source_1,JCP2022_002385
source_1,JCP2022_002391
source_1,JCP2022_002408
source_1,JCP2022_002411
source_1,JCP2022_002428
source_1,JCP2022_002429
source_1,JCP2022_002430
source_1,JCP2022_002439
source_1,JCP2022_002457
source_1,JCP2022_002477
source_1,JCP2022_002489
source_1,JCP2022_002503
source_1,JCP2022_002506
source_1,JCP2022_002512
source_1,JCP2022_002514
source_1,JCP2022_002529
source_1,JCP2022_002535
source_1,JCP2022_002544
source_1,JCP2022_002548
source_1,JCP2022_002549
source_1,JCP2022_002554
source_1,JCP2022_002562
source_1,JCP2022_002567
source_1,JCP2022_002576
source_1,JCP2022_002599
source_1,JCP2022_002602
source_1,JCP2022_002604
source_1,JCP2022_002615
source_1,JCP2022_002625
source_1,JCP2022_002653
source_1,JCP2022_002664
source_1,JCP2022_002678
source_1,JCP2022_002681
source_1,JCP2022_002688
source_1,JCP2022_002698
source_1,JCP2022_002712
source_1,JCP2022_002713
source_1,JCP2022_002714
source_1,JCP2022_002719
source_1,JCP2022_002723
source_1,JCP2022_002725
source_1,JCP2022_002732
source_1,JCP2022_002734
source_1,JCP2022_002736
source_1,JCP2022_002741
source_1,JCP2022_002777
source_1,JCP2022_002780
source_1,JCP2022_002784
source_1,JCP2022_002807
source_1,JCP2022_002830
source_1,JCP2022_002858
source_1,JCP2022_002867
source_1,JCP2022_002872
source_1,JCP2022_002889
source_1,JCP2022_002897
source_1,JCP2022_002898
source_1,JCP2022_002915
source_1,JCP2022_002920
source_1,JCP2022_002941
source_1,JCP2022_002945
source_1,JCP2022_002946
source_1,JCP2022_002955
source_1,JCP2022_002957
source_1,JCP2022_002962
source_1,JCP2022_002963
source_1,JCP2022_002969
source_1,JCP2022_002974
source_1,JCP2022_003002
source_1,JCP2022_003018
source_1,JCP2022_003022
source_1,JCP2022_003024
source_1,JCP2022_003027
source_1,JCP2022_003030
source_1,JCP2022_003074
source_1,JCP2022_003078
source_1,JCP2022_003091
source_1,JCP2022_003108
